content,score,upvotes
çox gec açılır hər dəfə şəxsiyyət səsiqəsinin fin kodunu istəyir,1,0
1 aydi donur girib paeol yaziram gozleyin deyib girmir silib insi yuklemisem yene girmir coxx pis ancaq tabitede beledi,1,1
serfəlidir,5,0
sağolun əladır,5,0
gozel,5,0
əla,5,0
bir kart nece almaq olur online,5,0
çox gözəl proqramdi amma bonus biraz artsa çox gözəl olar,5,2
əladır yaxşıda yararlnıram,5,0
çox pis donur rahat girmək üçün 2 3 cəhd etmək lazımdır,5,2
əla,5,0
əla,5,0
əla,5,0
çox gözəl tədbiqdir,5,0
cox zeif,1,18
əla,5,0
əla kaş ki banklara olan ödənişləri də ödəmək mümükün olsa idi lap əla olardı,4,0
əla dı gözəl di hər şeyi var girmək olur xoşum gəli di tətibiqdən,5,7
məndə də ədvi kamerayla cəkmək olmur fiskali yazmaqdan yorulmusam elə anlar olur ki fiskalda bəzi rəqəmlər oxunmur cox vaxt kamera donub qalir bir sozlə əsəbdir xahis edirəm bunala əlaqədar bir tədbir gorəsiz belə olmaz axi,1,0
çox gözel puroqramdin şeyxsen oz minnetdarliqimi bildirirem bu proqrami yaradana cox sag olun ellerivize sağliq,5,22
qoca cavan hər kəsin asanlıqla işlədə biləcəyi və çox gözəl bir uyğulamadıgünü gündən sərfəli yeniliklər üçün təşəkkürlər,5,0
belə dana,1,0
salam çox əladı,5,0
qabaq razi idim indi yox,1,9
əla,5,0
könüllü,5,0
əla proqramdıryasa kapital bank,5,0
cox yaxsi proqramdir deqiq yol gosterir,5,1
əlləriniz dərd görməsin halaldı sizə,5,0
salam kapital asc birbank proqramını yüklədim öz kartlarım arasında transfer edə bilmirəm artıq xidmət dayandırılıb deyir,5,4
super çox rahat tətbiqdi,5,0
cox raziyam eladir,5,0
yaxsi sistemdi,5,0
çox gözəl proqramdı çox dəstək olur,5,0
balakəndə yoxdu sabirabad baki semkir ancaq olardi balaaken yoxdu ancaq baki ancaq baki ohh allah,5,1
zəif işləyir donadona həmdə interneti səhv göstərir adamı aldadır,1,0
əla proqramdır,5,0
neçə ildir istifadə edirəm çox məmnunam,5,0
hərkəsə tövsüyə edirə xeyirnizədi ineterneti olmyanlara,5,0
əla,5,0
sifariş veririkdeyir men şehhere gedirem sifarişi leğv edir sürücüberbat,1,2
normaldi qiymet biraz bahadi 9933 baxanda,2,0
qiymet önəmli olsa da xidmət önde gəlir,5,0
çox razıyam,5,5
kohne proqram ela idibu yeni proqram sifirhecneyi gormey olmur nedi ne deyil,1,1
möhtəşəm,5,0
internet zeyifdi güclü olsa olar,4,3
əladır ,5,0
təşəkkür,5,0
salam mənə 4 manat 42 qəpik keşbek gəlib mən onu necə istifadə edim yazılıb ya karta köçür ya da ödənişlərdən istifadə edin,5,0
əla,5,0
salam mən pul köçürməsi edə bilmirəm burdan,5,11
çox əla tövsiyə edirəm hamiya,5,0
proqram heç cure açılmır,1,0
əladır,5,0
əla,5,0
şakir oğlu birlikdə hücuma keçdi ki,5,0
eladir amma bir emmasi var qir kodu cetin cekir,5,0
əladı kim bunu ərsəyə gətiribsə allah balasın saxlasın və bizə xidmət görsədən sürücülərimizidə allah xətadan bəladan uzağ eləsin gündüz ruzilərin qazanıb gecə evdərinə sağ salamat qayıtmağı arzulayıram uca rəbbim hamınızı qorusun inşallah amin,5,6
yaxsi,5,0
əladı,5,0
pis deyil,4,0
carx niye gorsenmir,2,1
çox yaxşı proqram dır amma ədv vurmaq olsa daha yaxşı olar gələn güncəlləmədə bunuda edin xaiş inanıram ki hamı bunu istəyər,5,1
5 ulduza sahibdir,5,0
əladır hər kəsə tövsiyə edirəm,5,0
əla,5,0
super bir proqramdir,5,3
işlətməyə dəyər marketplace dirkateqoriyalar düzgün quraşdırılıbelanlara uyğun xüsusiyyətlər də yaxşıdır və düzəldilə bilərməsələngünlük kirayə ev üçün elan qoyduqda barter bölməsi lazımlı deyilbir də elana gələn mesaj əlaqələri əladırrəqibinizdən biri tapaz da elanınızı bəyənən insanlara çatmaq olmursizdə olurbircə zəng tərəfdə problemlər çıxırtelefonla əlaqə 4 yazılırama sadəcə 1 zəng gəlir,4,0
əllərinizə sağlıq çox gözəldir və əlverişlidir,5,0
əlaaa di cox isimə yariyir ,5,0
super tetbiqdir olkenin 1 ci bankinin 1 ci tetbiqi,5,0
cox yaxsi,5,0
əla xudmətiniz var belə gözəl qalın,5,1
yaxşıdır,5,0
çox yaxşı dıelabeyendim,5,0
əla,5,0
əla,5,0
ela dı ama 500 dəqiqə danışıq saniyə ilə ölçulsün,5,0
möhtəşəm,5,0
əla,5,0
indi yüklədimnı dərəcədə yaxşi oldugunubir elanim varondan sonra deyəcəm,1,0
ela çox razı qaldım,5,0
orta tedbiqdi,5,2
qədək,5,0
cashback servisi kimi faydalıdır amma internet mağaza kimi fəaliyyəti məhsulun çatdırılması bərbaddır,2,8
əladı bəyəndim,5,0
cix pis qiymetlerde cox baxadi,1,0
qeydiyyatdan keçmək mümkün olmur fin yaxud kod istəyir yazdıqda isə qəbul etmir,1,3
çox gözəl,5,0
əladır,5,0
əla,5,0
əla proqramdır,5,0
çox pis mənim xəbərim olmadan 1 manat əvəzinə 7 manat çıxdılar dedim kart daxili ödəniş edib keşbek qazanım amma əksinə balansdan pul yoxa çıxır sonra bəhanələr axtarırlar,1,0
gosterilme ve baxis sayisi sefdirbirdeki robot adama yalannan zeng edirxosuma gelmedi bu tetbiq,1,5
neçe gundur yukluyen şəkiller acmir internetdə hec bir problem yoxdur,1,0
çox gözəl,5,0
tətbiqi yuklemisem yaxşı işləyirdi bugün 3gundur ki görə bilmirəm yazır ki hal hazırda server cavab vermir sonra yenidən cəhd edin xaiş edirəm kömək edesiz,2,2
əla,5,0
full 9 paketini leğv etmək istəyirəm tətbiqdə atır internetdə heç yerdə qoymamısız leğv etməyi bəsdirirdə adamı əsəbləşdirdiz,1,0
əla,5,0
edv ceki vurmusam 1 aydan coxdu artiq amma pulu hesablayib qaytarmir ne axmaq proqramdi bu buna diqqet edilsin havayi pullarda qalir burda bir bank bundan defelerle yaxsidi,1,64
əla,5,0
bir sözlə demək olar ki superdi,5,0
hörmətlibolt rəhbərliyi baxmayaraq mən sizin yeni istifadəçinizəmlakin sizin operativ şəkildə xidmətinizizdən çox razıyambir məqamın isə bizim müştəri və sərnişin münasibətlərimizə xələl gətirməsindən qorxurambelə kibu gün yəni 24072019 tarixində sizin xidmətdən faydalanmaq üçün təxminən saat 1100 radələrində mhadi 152 istiqamətindən masazır bazarstore supermarket istiqamətinə taxi sifariş etdimödəniş endirimli qiymətlə 1352 azn  200 azn təşkil etdibu qədər çox olmasını izah edin,5,2
proqrama girmir niyese,1,0
əla,5,0
əla,5,0
əla,5,0
çox əla proqramdı mənə çoxlu bonuslar verir 9q5hb yazaraq 1570 azn bonus qazana bilərsiniz,5,2
irshad electronicsin ödənişlərini sisteminizə daxil etsəniz çox məmnun olarıq,3,5
yaxşı ödəniş sistemidi,4,0
əla,5,0
əla,5,0
hər şey əladır lakin limitsiz internet paketi gəlsə daha yaxşı olar,5,4
möhtəşəm şəbəkə,4,0
əladı,5,0
islemir girmey olmur bu gun seherden olub duzeldi tesekur edirem,5,0
super xidmət,5,0
çox gözəl,5,0
əla,5,0
digər banklardan daha sərfəlidir,5,22
yüngül problem olur elan yerləşdirəndə o aradan götürülsə əla işləyir    elan qoyanda şekil yüklümeyde problem olur yüklenmir ele vaxt olur çhatında da mektub yazmaqda problem olur,4,4
yaxşidir,5,0
ela praqramdı,5,0
əla amma kamunal ödənişlərdə çətinlik olur azərişığda,5,0
yaxşidi,4,0
əla,5,0
cox heyifki hovsana catdirjlma yoxdur,5,0
supersiz dahada gözəl yenikleri gözləyirik sizden,5,0
allah sizdən razi olsun çox komey oldu mene bu praqram,5,1
əla,5,0
əladı super,5,0
yaxşdı,5,0
əladı,5,0
axırvaxtlar yaxşı işləyir hələki,5,2
internetin vaxti cox azdi hem yalniz bir praqramda işlemesi  ancaq gece 12den sonra verirsiz hediyyeni ,1,0
əla bir prosshhdbfjffnfnhdvdhsjkaoansbxjbdnxjcbjdbfiddjjcbfjfbfjdfjfbjcfbdhd vdbdnxhjvsjs bdnbdhdjdxvjsgsdalcsalsalxjjdjdhuhdjhbhdhhxhxhvchhxbbxbxbxgxhxhxvxxvxvxbxbxbbxbbxxbbxbxvbbhhhgggvvgvvbbbbbbdbjbcbbnnbgdgbxbbvggvggvvgggggggvg bvcxb cbcbvbbbbbbhbghhgghv xbbbxbxbxgxhxhxvxxvxvxbxbxbbxbbxxbbxbxvbbbdbjbcbbnnb xjjdjdcbcbvbbbbbbhbghhgghvdhdhddhdhdjdjhbfbbccvncbccbxhdhhdhghhhyggggggggfffggggggghchggjfhgxhxbfhcjjcjdjdjdjdjjsjshdhdjduhdfhjhdfhhxbbhxhhxjhxjxjxjxbjxjxbfcbchhxhxhxhbxhhxudslabomba,5,0
hal hazırda texniki işlər gedir deyir bu səbəbdən tətbiqə kartımı əlavə edə bilmirəm xahiş edirəm kömək edin neçə baxtdır gözləyirəm,3,5
əla,5,0
yeniləmədən sonra hər şeyin zayı çıxıb bu yerləşmə söhbəti ümumiyyətlə yararsız bir şeydi elanda dəyişiklik edirəm üstündən bir ay keçib ama dəyişilmiyib əvvəlki versiya daha yaxşı idi,1,0
ela praqramdi,5,0
möhtəşəm,5,0
tərtər çox sağol,5,0
gozəl,5,0
əla,5,0
əla,5,0
salammobil aperatorlara pul köçürtmək istədim ama işləmədi proqram,1,1
internet paketi haqqında məlumat verin mümkünsə,5,0
çox yaxşıdır amma tək bir problem var internetim olmadığı vaxtı mobil internet ala bilmirem əgər mobil internet almaq istəyirəmsə deməli internetim yoxdur bele bir funksiya lazımdır xahiş edirəm artırın,5,0
i radarları da xəbər etsə super olar amma dəqiq işləyir,5,5
salam praqram əladı mən 1 ildi istfadə edrəm amma mən indi onu yükləyrəm yüklənmir mənə kömək edin,5,0
zibil kimi pox kimi,5,0
yaxşı və aydın programdır,5,39
ela gozel tetbiq hami yuklesin,5,0
əla,5,0
əla,5,2
qeydiyyat prablemi yaşıyıram,5,0
cox gozeldi kocurmeler emelyatlarda hec bir prablem yoxdu,5,1
yaxşıki varsan,5,0
pis deyil yaxwidi,5,0
nece ildir intifada edirem superdi,5,0
salam niye qeydyatdan kecmr gören kodu yazram deyr sefdi,1,0
əla,5,0
məncə yaxşıdı 5 ulduz,5,0
nəyə görə ədv şifrəmi yeniliyə bilmirəm   və nəyə görə birbank tətbiqində olan nömrəmi dəyişə bilmirəm ,1,0
əla,5,0
lazım deyil,1,0
salam xahiş edirəm ki nəzərə alaraq huawei smartfon üçün tətbiq edilməsi barədə bir tədbir görəsiniz mənim smartfonum bu tətbiqi qəbul etmir play market olmur deyə,5,0
zehmet olmasa deyerdiz men 1defe yuķlemisdim silindi indi yene yukleyib qeydiyyat edirem acilmir niye beledir,1,0
ela 5 ulduz,5,0
ələ,5,6
əla,5,0
çox əla,5,0
salam bu tedbiqde albali plus kartimla komunal odenisler edende hansisa komissiya tutulur ya yox,5,4
gozel proqramdir 5 ulduz menden geldi,5,0
davamlı olsun,5,0
salam bir bank tədbiqində 3d secure xidmətinin akdiv olduğu nömrəni tədbiqin özündən müşdərilər tərəfindən dəyişmək mümkün deyil bunun üçün gərək 196 zəng edəsən əyər müşdərilər tərəfindən nömrəni dəyişmek mümkün olarsa çox yaxşı olar,4,1
men taksi heyatimda uberde gorduyum dalbayov gicdullaq adamlaru hec bir sirketde gormedin 2 faiz musteru yaxsi olar oda ya kiminse bextine qismet,1,0
yaxşıdı xoşum geldi bu yenilikdən,5,0
kim ki tərifləyir onlara cavab yazırsız artıq aydan yuxarıdı ki ədv gözləyən məbləğdən balansa oturmur xahiş edirəm məlumat verin,1,6
tətbiqin işlənməsində bir çox problemlər var,1,0
salamzəhmət olmazsa deyə bilərsiz wolt mən terefden qebul edilen sexsi melumatlari diger olkələrə transfer ede bilerbu nr demekdi bunu istəmirem ama tesdiqləməm qeydiyyat olmur,5,103
istifadə edirəm yaxşıdır,5,0
çox yaxşıdı,5,0
nomremizə nəzarət edə bilirik təşəkkür amma yene de təkminleşsə yaxsi olar,4,0
əla,5,0
yaxsi,5,1
çox gözəl,5,0
gözəl,5,0
əla,5,1
belədaa,5,0
əla,5,0
əla,5,0
əla,5,1
rahat proqramdır sadece iş elanlarına baxanda çoxsu firildaqçı elanlardır məsələn 23 xanım adları başqa başqa elanlarda milleti aldadır iş var 300manata 1000min manata girib elani oxuyursan eyni insan adı başqa olsada eyni mobil nöm yani bu sizin etabarınızı güveninizi zedeleyir men meselen artıq sizin lalafoya biraz şüpe ediremki burdada aldanılmaq aldatmaq olur çalışın şablon elanlara icaze verməyin insan istediyini tez tapsın ,5,0
çox gözəl,5,0
əla,5,0
çox əladır,5,0
çox əla,5,0
yaxşı tətbiqidir,5,0
ela proqram tovsiyye,5,1
1wyxs promo kodunu yiqsaz hem siz hemde men 10 manatliq pulsuz gediw qazaniriq,5,3
əla,1,0
məcbur yükləyirəm başqa alternativ yoxdu çox bərbad işləyir,1,1
çox gözəllll,5,0
əla,5,0
çox sürətli və rahat,5,0
umico marketi bəyənirəm umiconun xidmətlərindən çox razıyam əladır,2,0
çoooox tövsiyəli proqramdır,5,0
əlla mənə 2gb gəldi,5,0
belədə,5,0
sm agzivizi gdllax yiqni hara girrem reklaminiz cxir ta besdide ala ne qeder olar her vidyonuz qabagima cxanda bir yaxininiz gedr opsm strn omrumuze girmisiz ta bu qederde gdllaqlq olmaz sdrin ta opsm sizn varyoxuvuzu sm,1,0
əla tətbiqdi,5,0
çox gözəl tətbiqdirməsləhət görürəm,5,0
cox gozel,5,0
rahat ve pulsuz elanlarimi yerlesdire bilirem isdediyim mali da satisa cixara bilirem buna gore cox saqolun,5,0
yaxşı proqramdi məkan yadda saxlamaq əlavə etsez yaxşı olardi,4,0
agcabedi filalinda qosulduq xidmetden cox razi qaldiq,5,0
çox super,5,1
super proqramdi,5,0
çox gözəldir içərisində bütün məlumatlarının baxa bilərsiniz hədiyyə çarxında hədiyyə qazana bilərsiniz yəni tək sözlə mükəmməl,5,3
çox gözel fikirdi hemde çox serfelidi men razi qaldım,5,0
çox pisdi cark dan 0001 de baslayib 0800 da biten 1gb cixdi ama 0700 da acdim islemedi,1,0
əla,5,0
əla,5,0
super bir proqram,5,0
eladir baksel,5,0
istənilən vaxt istədiyimiz köçürmələri vaxtı vaxtında edə bilirik təşəkkür,5,1
sürücü çox təcrübəli surucudu sürücüyə təşəkkür edirik,5,0
əla,5,0
salam sığortanın keçme vaxtını ve bitme vaxtınıda yerleşdirmek olar evveller olub sizde bu kimi melumat,4,1
bu unibank 3 defe səhv yığdim blok oldu yazıldı 60 deyqe açılar dediler açılmadı ne edek açılsın,1,0
gözəl,5,0
çox efektlidir,5,0
razıyam əladı,5,0
çox razıyam bu sistemdən,5,0
möhtəşəm,5,0
yaxsi,5,0
çox gözəl çox yaxşı tətbiqdi,5,2
cox keyfiyyətsiz cox lazımsız tətbiqdi hec cürə istfadə etmək olmur ümumiyyətlə nəyə yarayır bu proqram ləyağınız olsun düzəldin andırı,1,0
çox faydalıdır,5,0
ələ,5,0
əla,5,0
burda oxuyuram kim ki bangi terifliyir bank o deyqe rey yazir tsk edir ama sikayetlere baxmirlar bele sey olar duzemelli tedbiq yaradinda camahati ne bezdirirsiz,1,8
yaxşi,5,0
samux filialı cox sağ olun,5,0
çox gözəl,5,0
eladı super çox sağolun,5,11
tez rahat və sərfəli,5,1
əla vəziyyətdədir,5,0
əla,5,0
hərri deyirəm,5,0
çok gözəl bir proqram di,5,4
yaxşıdı,5,0
normal arada donur amma,5,0
könüllü,5,0
bir kopuyluy proqram deyil 5 ulduzda veriremki yuxarıda qalsın hamsi görsün yuklemesin,5,0
əla,5,0
əla,5,0
bu nədi 1 həftədi nə kabnet islyr nədə carx niə isləmr bu nə deməkdi  bos bir seydi hədyənin gua ən böyüyu də 500 mb vatsap ucun hələ mən superzuvuk islətmrəm mənə 1gb superzvuk uucn dusur yukləmyn dostlar,1,0
əla könüllü,5,1
cox razi qaldim,5,0
əla,5,0
könülü,5,0
fırıldaqçılıqla meşqulsuz  keçen ay oldu heçne elemediler indide bu ay 300 man yaxın aptekden derman almışam 8 man edv qeyd edilib onunda 2 qatı kocecekdi temiz silinib sistemden nece ola biler bu yegin bank emekdaşı butun melumatları komputerde gorur baxıb tedbir gorun tetbiq çat bolmesinde heçne ede bilmirler,3,2
dəqiqə başı hal hazırda xidmət çalışmır gözlənilməyən xəta baş verdi kimi sözlərlə qarşılaşıram bu səbəbdən proqrama girə bilmirəm çarxda sberzvuk üçün internet verir halbuki o proqramı ölkədə istifadəçisi yox dərəcədədir heç bir ulduz belə vermək heyifdir,1,0
qeydiyyatdan keçmem olmurnömre yalnişdir deyrbir şeyide dogru düzgün eziyyetsiz eleyinde içvize nallayim,5,0
əla,5,0
əla,5,0
beli yaxşıdı,5,0
cerime odenisleri elave olunsa super olar,5,0
razıyam,5,0
gözəl proqram,5,0
illerin şirkəti  illürin tecrubesi,5,0
çox razıyam,5,0
əla,5,0
əfsanə,5,0
əla,5,0
çox gözəl,4,0
her sey satilir,5,1
natiq cəfərv,5,0
çox yararli proqramdir internetsiz bele çalışır,5,0
bəzi xidmətlər işləmir,2,0
əla,5,0
peşəkar,5,0
çox superdi həqiqətən,5,0
əla,5,0
bəzi ödəniş edirəm komissiya tuturona görə ödəniş etmirəm başqa üsulla ödəniş edirəm,2,3
əla,5,0
bu proqram niyə yüklənmir xaiş edirəm bunu düzəldin ,1,0
gözəllll,5,0
əla,5,0
əla,5,0
təcrübə etmişəm asan və əladii,5,0
əla,5,0
əla,5,0
təşəkkürlər,5,3
yaxşı xidmətdir,5,0
əladır əziyyət kecən hər kəsə təşəkkür yenilənmədən sonra nəsə işləmir,5,0
poxdu,5,0
millondan 5azn yükləmişəm azərsel kabinetində görünmür,1,1
ela proqramdirişimizə həmişə yarayir,5,0
yaxşı,4,0
cox gozel tedbikdi butun ishlerimi burdan rahatca gorurem,5,2
yaxşıdır,5,0
qeydiyyatdan keçnək olmur çox pis,1,0
abb mobile əladır,5,0
əla,5,0
əladır,5,0
pulsuz internet verir da nə isdiyyis yükləyin getsin,5,0
tez tez əməliyyata icazə məhdudlaşdırılmışdır yazılır düzəliş və cavab hörmətli kapital bank zəng etdikdə sistem avtomatik olaraq zəng sifarişi qəbul edir və 15 dəq ərzində zəng ediləcək deyir 1 saata yaxındır amma zəng yoxdur naraziyam,1,6
əla,5,0
pis deyil bunada sukur,5,0
yenilik əladı,5,0
əla,5,0
əla,5,0
pis deyil,4,0
əladı,5,0
keyfiyyət 000 xidmət 000 o boyda beynəlxalq bank özünə normal dev ops mütəxəssisi tapa bilmədi normal maaş verin 50006000azn gəlib işləsinlərdüzəldib yoluna qoysunlar da bu nə biabırçı xidmətdi maraqlansanız emailimə yazın tətbiqdəki bugları və çatışmazlıqları ləngimələri göstərim sizə təbii ki əgər bu barədə düşünürsünüzsə,1,0
əla,5,0
bu nediye mobil tetbiqe girmir,5,2
hele istifade elememisem ama proqram yaxsidi,5,0
çox əla,5,0
faiziniz az olsa yaxşı olar,5,0
istirahət vaxtları proqramdan istifadə etməkdə problem olur problemi aradan qaldırsaz yaxşı olar,5,0
cox pis benzini yoxdu,1,6
çox gözəl proqramdı kasıblara köməy olur,5,0
yaxwi proqramdi eladi hamiya meslehet bilirem,5,0
çox super,5,1
proqram açmır nədənsə mende neçe gündür,1,0
mən yüklənişəm amma açılmır,5,0
deyəsən dənizdə bogulub3 gündü işləmirrəhmətdə düşmür buna silirəm,1,15
alqısatqı üçün əla tətbiqdir istifadə etməyə dəyər uğurlar,5,11
əla,5,0
belə praqlamı silək lazımdı mənə 200 manat ziyana saldı,1,0
cox gözəl tetbiqdi,5,0
men 5 qeydiyyat gətirmişəm öz hesabıma qeydiyyat etdirmişəm 1 manat belə verlmedi,5,1
pox kimi tutur int bele getse silecem azerceli hediyye verdiz onuda ele elediz heç int işlemedi bu gunde bele zeyifdi,5,0
salam mən bu gün wifi yə məbləg yüklədim amma iki dəfə yükləndi niyə və əlaqə nömrənizi tapa bilmədim zəhmət olmasa əlaqə nömrəsini yazardız öncəlikdən təşəkkür edirəm,1,0
tətbiq bir sözlə möhtəşəmdir,5,0
salam 2ci birbank proqramı yükləmək olar,5,0
cox gozel,5,0
pragram pis deyil amma azersell şirketin bir cift lafım var milyonlar qazanırsız amma cındılıq edirsiz yalandan hediyye kapaniyyası keçirdisiz guya 4 heftedi barabanı fırladıram 4 nömrem var dördünede eyni şey verirsiz kor tutduğun buraxmayan kimi ancaq vapçat üçün 1 günlük internet bir de 1 günlük danışıq ay şerefsizler eseb xesteliyine tutulmuşam da nömremde gündelik danışıq var herfırldanda getib soxursuz ortalığa danışıq qazandız birdefe internet versez canınız çıxar,1,0
əla bir tədbiq bunu play marketə qoyan halal olsun sənə 5 ulduzda məndən gəlsin,5,0
"salamlar neçə ildi istifadə edirəm çox sağolun amma saytın köhnə 
versiyası həm rahat idi həmdə yüngül işlyirdi zəhmət olmasa bunu nəzərə 
alın",5,1
əla,5,0
əla,5,0
çox gözəldi istifadəsi rahatdı maaşın köçməsi hara nə qədər xərclənməsi göstərilir,5,0
əla,5,0
əla,5,0
beyenirem birbankı cox rahatdır,5,0
salam 1 ayliq mg kodunu deye bilersiz,5,0
azercell özü normal set verən nömrə deyil qalıb onun proqramı yaxşı ola tövsiyə etmirəm nə nömrəsin alın nədə ki istifadə edin internet sürəti yoxdulazimli vaxtlarda öz özündən set atır ,1,2
əla,5,0
əlagünü gündən gözə kampaniyalarendirimlər təqdirə layiqdirdaim inkişafda olan bravo marketlər şəbəkəsidaim inkişafda olan kollektivi və komandasısadəcə əhsən,5,0
çoxx əla,5,0
çox pis əvəlki gözəliydi girmir nöməri yazıram fırlanır girmir,1,13
gözəldir,5,0
çox gözəl tətbiqdir,5,0
bolt bu gün getmədiyim məsafəyə görə məndə kartdan 8 azn çıxmısiz oğru proqram sizi hər yerdə şikayət edəcəm əyə pulumu geri qahtarmasaniz ,1,5
əla proqram,5,0
çox pis taksi tapa bilmir unvani başqa taksi yolayim,1,0
əladı,5,1
10 cekden 1i gucle yuklenirgoturmur cekiyuklenmircox eseblewiremniye ,1,0
gozel,5,0
çox əla tətbiqdir mən çox bəyəndim təşəkkürlər,5,0
s2m bunun için elə qəhbə proqramdi,1,0
çox gözəldi və sərfəli,5,0
besdirinde her 5 deqeden bir reklam verirsiz,1,0
yaxşıdır,5,0
çox razıyam bakcell çox gözəl nömrədirm,5,0
çatışmazlıqlar var aradan qaldırardız tez bir zamanda,3,0
hətta paylaşıb 2025 qəpikbəzilərində 34manatlıq kontur verir paylaşmaqla,5,1
5 gb pulsuz,5,0
əlimizdən tutur əladır,5,0
çox yaxşı,5,0
çox gözəl hətta bununla ədva da vurmaq olur,5,0
kartın rəqəmi görmür,5,1
əladır,5,0
bu tətbiqi beyendim,5,0
gozel,5,0
yaxşı əla,5,0
girmek olmur xeta verir duzeldinde bunu,1,1
son 34 aydı proqram rahat işləmir serverdə xətaların olması baş ağrı olmağa başladı ya proqramı ləğv edin yada serverdə olan problemi həll edin olmaz axı belə,1,3
lazımsız bir proqramdır boşuna telefonda yer tutur kapital bankın kartı olmasa işləmir başqa bank kartınıda əlavə etmək olmur yükləyib özünüzü yormayın,1,2
proqram cox superdir birce mene deyin görum elani yerlesdiridikden sonra baglamaq isdedikde ne etmeli,5,0
aprel ayında istifadə etdiyim fayda balansı hələ verilməyib aprelin may 2ayın kaşbeki qalıb,1,7
əla,5,0
könüllü,5,0
çox gözəl,4,2
hersey yaxsi ama burada dilimiz tehrif olunubmeselen neqliyyat yerine trafik yazmisizsecimler  yazmaq evezine secenekler yazmisiz ve sbunu azerbaycan tirkcesinde yazsaz daha yaxsi olar,5,27
cox weyi acmir herden acir hansisa melumati herden yox cox zeyif amma silmeyecemnsaxlayacam belke deywdiz,1,0
quraşdıra bilmirəm,1,0
